#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.190928E+00   0.713615E+05   0.667093E+05   0.468559E+00   0.266027E+01   0.135392E+03   0.698180E+05   0.706354E+05   0.698180E+05  -0.350026E-01   0.699936E+05   0.697706E+05   0.100830E+01
   0.211008E+00   0.621463E+05   0.578552E+05   0.200113E+01   0.180487E+01   0.973132E+02   0.607648E+05   0.614765E+05   0.607649E+05  -0.304639E-01   0.609225E+05   0.606975E+05   0.920123E+00
   0.233200E+00   0.531335E+05   0.487967E+05   0.162315E+01   0.145699E+01   0.685495E+02   0.518492E+05   0.524566E+05   0.518492E+05  -0.259941E-01   0.519917E+05   0.517484E+05   0.900493E+00
   0.257726E+00   0.468627E+05   0.436644E+05   0.449532E+00   0.902322E+00   0.498464E+02   0.458265E+05   0.463634E+05   0.458265E+05  -0.229747E-01   0.459441E+05   0.457837E+05   0.537319E+00
   0.284831E+00   0.403210E+05   0.372983E+05   0.136356E+01   0.742144E+00   0.352455E+02   0.393876E+05   0.398492E+05   0.393876E+05  -0.197466E-01   0.394927E+05   0.393288E+05   0.496505E+00
   0.314787E+00   0.348939E+05   0.323487E+05   0.895068E+00   0.544317E+00   0.250899E+02   0.340970E+05   0.344966E+05   0.340970E+05  -0.170942E-01   0.341867E+05   0.340534E+05   0.365338E+00
   0.347893E+00   0.301278E+05   0.279172E+05   0.358616E+00   0.314607E+00   0.178243E+02   0.294377E+05   0.297828E+05   0.294377E+05  -0.147583E-01   0.295155E+05   0.293979E+05   0.291882E+00
   0.384481E+00   0.259574E+05   0.240734E+05   0.189304E+00   0.279921E+00   0.126124E+02   0.253659E+05   0.256633E+05   0.253659E+05  -0.127170E-01   0.254326E+05   0.253339E+05   0.221632E+00
   0.424918E+00   0.222914E+05   0.206444E+05   0.183918E+00   0.186618E+00   0.888320E+01   0.217790E+05   0.220343E+05   0.217790E+05  -0.109187E-01   0.218367E+05   0.217491E+05   0.177826E+00
   0.469607E+00   0.191646E+05   0.177714E+05   0.120628E+00   0.133917E+00   0.626854E+01   0.187276E+05   0.189472E+05   0.187276E+05  -0.938889E-02   0.187769E+05   0.187036E+05   0.134731E+00
   0.518996E+00   0.164195E+05   0.152212E+05   0.108107E+00   0.981154E-01   0.439801E+01   0.160443E+05   0.162324E+05   0.160443E+05  -0.804365E-02   0.160866E+05   0.160235E+05   0.104944E+00
   0.573579E+00   0.140506E+05   0.130230E+05   0.687471E-01   0.614221E-01   0.309398E+01   0.137292E+05   0.138902E+05   0.137292E+05  -0.688301E-02   0.137654E+05   0.137112E+05   0.815445E-01
   0.633902E+00   0.120094E+05   0.111316E+05   0.448558E-01   0.354477E-01   0.217068E+01   0.117347E+05   0.118723E+05   0.117347E+05  -0.588309E-02   0.117657E+05   0.117194E+05   0.629972E-01
   0.700571E+00   0.102507E+05   0.950185E+04   0.319416E-01   0.283082E-01   0.151871E+01   0.100163E+05   0.101338E+05   0.100163E+05  -0.502158E-02   0.100427E+05   0.100033E+05   0.486015E-01
   0.774251E+00   0.873824E+04   0.810013E+04   0.220333E-01   0.164176E-01   0.106236E+01   0.853849E+04   0.863864E+04   0.853849E+04  -0.428069E-02   0.856102E+04   0.852741E+04   0.374626E-01
   0.855679E+00   0.743964E+04   0.689647E+04   0.154426E-01   0.114863E-01   0.737652E+00   0.726959E+04   0.735485E+04   0.726959E+04  -0.364454E-02   0.728877E+04   0.726017E+04   0.288464E-01
   0.945672E+00   0.632657E+04   0.586474E+04   0.107048E-01   0.966427E-02   0.514802E+00   0.618198E+04   0.625448E+04   0.618198E+04  -0.309928E-02   0.619828E+04   0.617397E+04   0.221890E-01
   0.104513E+01   0.537410E+04   0.498184E+04   0.745067E-02   0.592900E-02   0.358360E+00   0.525128E+04   0.531287E+04   0.525128E+04  -0.263268E-02   0.526513E+04   0.524448E+04   0.170502E-01
   0.115505E+01   0.456012E+04   0.422731E+04   0.517480E-02   0.586526E-02   0.249537E+00   0.445591E+04   0.450817E+04   0.445591E+04  -0.223393E-02   0.446766E+04   0.445015E+04   0.130881E-01
   0.127652E+01   0.386554E+04   0.358346E+04   0.359124E-02   0.253137E-02   0.172931E+00   0.377721E+04   0.382151E+04   0.377721E+04  -0.189367E-02   0.378717E+04   0.377233E+04   0.100370E-01
   0.141078E+01   0.327358E+04   0.303471E+04   0.248997E-02   0.169682E-02   0.119786E+00   0.319877E+04   0.323629E+04   0.319877E+04  -0.160367E-02   0.320721E+04   0.319464E+04   0.769018E-02
   0.155915E+01   0.276971E+04   0.256762E+04   0.172483E-02   0.104374E-02   0.831181E-01   0.270642E+04   0.273817E+04   0.270642E+04  -0.135684E-02   0.271356E+04   0.270292E+04   0.588696E-02
   0.172313E+01   0.234132E+04   0.217051E+04   0.119376E-02   0.783854E-03   0.576754E-01   0.228783E+04   0.231466E+04   0.228783E+04  -0.114698E-02   0.229386E+04   0.228487E+04   0.450284E-02
   0.190435E+01   0.197751E+04   0.183324E+04   0.825488E-03   0.656105E-03   0.399226E-01   0.193232E+04   0.195499E+04   0.193232E+04  -0.968753E-03   0.193742E+04   0.192983E+04   0.344144E-02
